ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
BRK-B
JPM
V
MA
UNH
XOM
AVGO
LLY
COST
HD
PG
JNJ
ABBV
KO
PEP
BAC
WMT
CRM
ADBE
CSCO
NFLX
INTC
AMD
QCOM
TXN
T
VZ
PFE
MRK
NKE
MCD
DIS
CMCSA
INTU
ORCL
IBM
AMAT
NOW
GS
MS
SPGI
CAT
